id,category_id,question,answer,difficulty,points,options
q_technology_184,technology,في أي عام أُطلق تويتر؟,2006,متوسط,10,2004 | 2005 | 2006 | 2007
q_technology_185,technology,ما معنى GPS؟,نظام تحديد المواقع العالمي,متوسط,10,نظام تحديد المواقع العالمي | نظام الملاحة العام | نظام التتبع العالمي | نظام المواقع الجغرافية
q_technology_186,technology,كم عدد البكسلات في شاشة 4K؟,8.3 مليون بكسل,صعب,15,2 مليون | 4.1 مليون | 8.3 مليون بكسل | 16 مليون
q_technology_187,technology,ما هي أول لعبة فيديو؟,Pong,صعب,15,Tetris | Pong | Space Invaders | Pac-Man
q_arabic_culture_188,arabic_culture,ما هو الخط العربي الذي يُستخدم في كتابة المصحف؟,الخط العثماني,متوسط,10,الخط الكوفي | خط النسخ | الخط العثماني | خط الرقعة
q_arabic_culture_189,arabic_culture,كم بيتاً من الشعر في معلقة امرؤ القيس؟,82 بيتاً,صعب,15,70 بيتاً | 75 بيتاً | 82 بيتاً | 90 بيتاً
q_arabic_culture_190,arabic_culture,ما هو الطبق الشعبي في مصر؟,الكشري,سهل,5,الكبسة | الكشري | المنسف | الملوخية
q_arabic_culture_191,arabic_culture,من أسس مكتبة الإسكندرية القديمة؟,بطليموس الأول,صعب,15,الإسكندر الأكبر | بطليموس الأول | كليوباترا | رمسيس الثاني
q_arabic_culture_192,arabic_culture,ما هي أقدم مدينة مأهولة في العالم؟,دمشق,متوسط,10,القاهرة | بغداد | دمشق | القدس
q_arabic_culture_193,arabic_culture,كم عدد الأشهر الحُرُم؟,4 أشهر,متوسط,10,3 أشهر | 4 أشهر | 5 أشهر | 6 أشهر
q_arabic_culture_194,arabic_culture,ما هو اليوم الوطني للسعودية؟,23 سبتمبر,سهل,5,21 سبتمبر | 22 سبتمبر | 23 سبتمبر | 24 سبتمبر
q_arabic_culture_195,arabic_culture,من بنى الأزهر الشريف؟,جوهر الصقلي,صعب,15,صلاح الدين | جوهر الصقلي | عمرو بن العاص | أحمد بن طولون
q_arabic_culture_196,arabic_culture,ما هو المكون الرئيسي في الحمص؟,الحمص,سهل,5,العدس | الحمص | الفول | البازلاء
q_arabic_culture_197,arabic_culture,من أي بلد أصل طبق الشاورما؟,تركيا,متوسط,10,لبنان | سوريا | تركيا | اليونان
q_general_198,general,ما هو الطبق الوطني في الأردن؟,المنسف,سهل,5,المقلوبة | المنسف | الزرب | الكبسة
q_general_199,general,كم عدد سكان مصر تقريباً؟,أكثر من 100 مليون,متوسط,10,80 مليون | 90 مليون | أكثر من 100 مليون | 120 مليون
q_geography_200,geography,ما هي أحدث دولة عربية استقلالاً؟,جنوب السودان,صعب,15,الإمارات | قطر | جيبوتي | جنوب السودان
q_general_201,general,أين يقع أطول برج في العالم؟,دبي,سهل,5,نيويورك | دبي | شنغهاي | الرياض
q_history_202,history,من هو مؤسس علم الجبر؟,الخوارزمي,متوسط,10,ابن سينا | الخوارزمي | البيروني | ابن الهيثم
q_science_203,science,من هو أبو الطب العربي؟,ابن سينا,متوسط,10,الرازي | ابن سينا | ابن النفيس | الزهراوي
q_history_204,history,في عهد أي خليفة كانت الدولة الإسلامية في أوج اتساعها؟,الوليد بن عبد الملك,صعب,15,عمر بن الخطاب | هارون الرشيد | الوليد بن عبد الملك | عمر بن عبد العزيز
q_history_205,history,من هو مؤسس الدولة السعودية الأولى؟,محمد بن سعود,متوسط,10,عبد العزيز بن سعود | محمد بن سعود | سعود بن عبد العزيز | تركي بن عبد الله
q_history_206,history,متى سقطت غرناطة آخر معاقل المسلمين في الأندلس؟,1492,متوسط,10,1490 | 1491 | 1492 | 1493
q_history_207,history,من هو الخليفة العباسي في عصر ألف ليلة وليلة؟,هارون الرشيد,سهل,5,المأمون | هارون الرشيد | المعتصم | الأمين
q_history_208,history,في أي معركة انتصر المسلمون على المغول؟,عين جالوت,متوسط,10,حطين | القادسية | عين جالوت | اليرموك
q_history_209,history,من هو آخر سلاطين المماليك في مصر؟,طومان باي,صعب,15,قانصوه الغوري | طومان باي | الأشرف قايتباي | برسباي
q_history_210,history,متى تم اكتشاف النفط في السعودية؟,1938,متوسط,10,1936 | 1937 | 1938 | 1939
q_history_211,history,من هو مؤسس الدولة الطولونية في مصر؟,أحمد بن طولون,صعب,15,عمرو بن العاص | أحمد بن طولون | محمد بن طغج | كافور الإخشيدي
q_history_212,history,متى تم افتتاح قناة السويس؟,1869,متوسط,10,1867 | 1868 | 1869 | 1870
q_history_213,history,من قاد الثورة العربية الكبرى؟,الشريف حسين بن علي,متوسط,10,فيصل بن الحسين | الشريف حسين بن علي | عبد الله بن الحسين | لورنس العرب
q_history_214,history,في أي عام احتل العثمانيون مصر؟,1517,صعب,15,1515 | 1516 | 1517 | 1518
q_geography_215,geography,ما هي أصغر دولة عربية مساحة؟,البحرين,متوسط,10,الكويت | البحرين | قطر | لبنان
q_geography_216,geography,كم دولة عربية في قارة أفريقيا؟,10 دول,صعب,15,8 دول | 9 دول | 10 دول | 11 دولة
q_geography_217,geography,ما هو أطول وادي في السعودية؟,وادي الرمة,صعب,15,وادي حنيفة | وادي الرمة | وادي الدواسر | وادي بيشة
q_geography_218,geography,أين تقع جزر القمر؟,المحيط الهندي,متوسط,10,البحر الأحمر | المحيط الأطلسي | المحيط الهندي | البحر المتوسط
q_geography_219,geography,ما هي العاصمة الإدارية الجديدة لمصر؟,العاصمة الإدارية الجديدة,سهل,5,القاهرة الجديدة | العاصمة الإدارية الجديدة | 6 أكتوبر | العلمين الجديدة
q_geography_220,geography,كم جزيرة في البحرين؟,33 جزيرة,صعب,15,20 جزيرة | 25 جزيرة | 33 جزيرة | 40 جزيرة
q_geography_221,geography,ما هي أكبر واحة في العالم؟,واحة الأحساء,صعب,15,واحة سيوة | واحة الأحساء | واحة الفيوم | واحة الداخلة
q_geography_222,geography,أين يصب نهر الأردن؟,البحر الميت,متوسط,10,البحر الأحمر | البحر المتوسط | البحر الميت | بحيرة طبريا
q_geography_223,geography,ما هي أعلى قمة في الجزائر؟,قمة تاهات,صعب,15,جبل شيليا | قمة تاهات | جبل الأوراس | جبل جرجرة
q_geography_224,geography,كم محافظة في العراق؟,18 محافظة,صعب,15,15 محافظة | 16 محافظة | 18 محافظة | 20 محافظة
q_science_225,science,ما هو العنصر الكيميائي لملح الطعام؟,كلوريد الصوديوم,متوسط,10,كربونات الصوديوم | كلوريد الصوديوم | كبريتات الصوديوم | نترات الصوديوم
q_science_226,science,كم عدد الكروموسومات في الإنسان؟,46 كروموسوم,متوسط,10,44 كروموسوم | 46 كروموسوم | 48 كروموسوم | 50 كروموسوم
q_science_227,science,ما هو أقوى حمض في العالم؟,الحمض الفلوروأنتيمونيك,صعب,15,حمض الكبريتيك | حمض النيتريك | الحمض الفلوروأنتيمونيك | حمض الهيدروكلوريك
q_science_228,science,من اكتشف فصائل الدم؟,كارل لاندشتاينر,صعب,15,لويس باستور | كارل لاندشتاينر | روبرت كوخ | ألكسندر فلمنغ
q_science_229,science,كم يبلغ عدد عضلات جسم الإنسان؟,أكثر من 600 عضلة,متوسط,10,400 عضلة | 500 عضلة | أكثر من 600 عضلة | 700 عضلة
q_science_230,science,ما هو أصغر جزء في الذرة؟,الكوارك,صعب,15,الإلكترون | البروتون | النيوترون | الكوارك
q_science_231,science,كم تبلغ درجة الحرارة في مركز الشمس؟,15 مليون درجة مئوية,صعب,15,1 مليون درجة | 5 مليون درجة | 10 مليون درجة | 15 مليون درجة مئوية
q_science_232,science,ما هو أسرع حيوان بحري؟,سمكة الزعنفة الشراعية,صعب,15,القرش | الدولفين | سمكة الزعنفة الشراعية | الحوت
q_science_233,science,كم عدد حجرات قلب التمساح؟,4 حجرات,صعب,15,2 حجرة | 3 حجرات | 4 حجرات | 5 حجرات
q_science_234,science,ما هو أكبر كوكب في المجموعة الشمسية؟,المشتري,سهل,5,زحل | المشتري | أورانوس | نبتون
q_history_235,history,متى تأسس مجلس التعاون الخليجي؟,1981,متوسط,10,1979 | 1980 | 1981 | 1982
q_geography_236,geography,ما هي أكبر جزيرة كويتية؟,بوبيان,صعب,15,فيلكا | وربة | بوبيان | كبر
q_sports_237,sports,كم مرة فازت السعودية بكأس آسيا؟,3 مرات,متوسط,10,مرتان | 3 مرات | 4 مرات | 5 مرات
q_arabic_culture_238,arabic_culture,ما هو الزي التقليدي للمرأة الكويتية؟,الدراعة,متوسط,10,العباءة | الدراعة | الثوب | البشت
q_general_239,general,ما هي عملة البحرين؟,الدينار البحريني,سهل,5,الريال | الدرهم | الدينار البحريني | الريال البحريني
q_history_240,history,من هو مؤسس دولة قطر الحديثة؟,الشيخ جاسم بن محمد,صعب,15,الشيخ حمد بن خليفة | الشيخ جاسم بن محمد | الشيخ خليفة بن حمد | الشيخ تميم
q_geography_241,geography,كم تبلغ مساحة دولة الإمارات تقريباً؟,"83,600 كم²",صعب,15,"71,000 كم² | 83,600 كم² | 95,000 كم² | 105,000 كم²"
q_arabic_culture_242,arabic_culture,ما هو الطبق الشعبي في الكويت؟,المجبوس,سهل,5,الكبسة | المجبوس | المندي | البرياني
q_general_243,general,في أي عام استضافت قطر كأس العالم؟,2022,سهل,5,2020 | 2021 | 2022 | 2023
q_history_244,history,متى انضمت الكويت للأمم المتحدة؟,1963,صعب,15,1961 | 1962 | 1963 | 1964
q_religion_245,religion,كم عدد الأحزاب في القرآن؟,60 حزباً,متوسط,10,30 حزباً | 40 حزباً | 60 حزباً | 80 حزباً
q_religion_246,religion,من هو أول من أذن في الإسلام؟,بلال بن رباح,سهل,5,عمر بن الخطاب | بلال بن رباح | أبو بكر الصديق | علي بن أبي طالب
q_religion_247,religion,كم مرة ذُكرت كلمة 'الصلاة' في القرآن؟,67 مرة,صعب,15,50 مرة | 60 مرة | 67 مرة | 75 مرة
q_religion_248,religion,ما هي السورة التي تُسمى عروس القرآن؟,سورة الرحمن,متوسط,10,سورة مريم | سورة الرحمن | سورة الواقعة | سورة الملك
q_religion_249,religion,كم عدد آيات سورة الفاتحة؟,7 آيات,سهل,5,5 آيات | 6 آيات | 7 آيات | 8 آيات
q_history_250,history,في أي عام وقعت غزوة أحد؟,3 هجري,متوسط,10,2 هجري | 3 هجري | 4 هجري | 5 هجري
q_religion_251,religion,من هو النبي الذي لُقب بخليل الله؟,إبراهيم عليه السلام,سهل,5,موسى | إبراهيم عليه السلام | عيسى | محمد
q_religion_252,religion,كم مرة حج النبي محمد؟,مرة واحدة,متوسط,10,مرة واحدة | مرتان | ثلاث مرات | أربع مرات
q_religion_253,religion,ما هي أقصر سورة في القرآن؟,سورة الكوثر,سهل,5,سورة الإخلاص | سورة الكوثر | سورة العصر | سورة الناس
q_history_254,history,من هو أول شهيد في الإسلام؟,سمية بنت خياط,متوسط,10,حمزة بن عبد المطلب | سمية بنت خياط | ياسر بن عامر | عمار بن ياسر
q_technology_255,technology,متى أُطلق ChatGPT؟,2022,متوسط,10,2020 | 2021 | 2022 | 2023
q_sports_256,sports,من فاز بكأس العالم 2022؟,الأرجنتين,سهل,5,فرنسا | الأرجنتين | البرازيل | كرواتيا
q_general_257,general,ما هو مشروع نيوم؟,مدينة ذكية في السعودية,سهل,5,مشروع سياحي | مدينة ذكية في السعودية | شركة تقنية | مشروع طاقة
q_technology_258,technology,من اشترى تويتر في 2022؟,إيلون ماسك,سهل,5,جيف بيزوس | إيلون ماسك | بيل غيتس | مارك زوكربيرغ
q_arabic_culture_259,arabic_culture,أين أقيمت إكسبو 2020؟,دبي,سهل,5,الرياض | دبي | الدوحة | القاهرة
q_science_260,science,كم يساوي 15% من 200؟,30,سهل,5,20 | 25 | 30 | 35
q_science_261,science,ما هو ناتج 7 × 8؟,56,سهل,5,54 | 56 | 58 | 60
q_science_262,science,كم ضلعاً في الشكل السداسي؟,6 أضلاع,سهل,5,5 أضلاع | 6 أضلاع | 7 أضلاع | 8 أضلاع
q_literature_263,literature,ما هو جمع كلمة 'مفتاح'؟,مفاتيح,سهل,5,مفاتح | مفاتيح | أمفتاح | مفتوحات
q_literature_264,literature,ما هو مضاد كلمة 'نهار'؟,ليل,سهل,5,صباح | مساء | ليل | فجر
q_general_265,general,كم عدد النقاط على النرد؟,21 نقطة,متوسط,10,18 نقطة | 20 نقطة | 21 نقطة | 24 نقطة
q_general_266,general,ما هو لون الصندوق الأسود في الطائرة؟,برتقالي,صعب,15,أسود | أحمر | برتقالي | أصفر
q_entertainment_267,entertainment,كم عدد المربعات في رقعة الشطرنج؟,64 مربعاً,متوسط,10,48 مربعاً | 56 مربعاً | 64 مربعاً | 72 مربعاً
q_science_268,science,كم عدد الأسنان اللبنية عند الأطفال؟,20 سناً,متوسط,10,16 سناً | 18 سناً | 20 سناً | 24 سناً
q_science_269,science,ما هي فصيلة الدم الأكثر ندرة؟,AB سالب,صعب,15,O سالب | AB سالب | B سالب | A سالب
